UTC,ShipName,MMSI,DRAFT AFT,DRAFT FWD,DRAFT PORT,DRAFT STBD,File name,FilePath
2020-03-12 6:53,한나라호,441273000,5.85.E+00,5.82.E+00,5.76.E+00,5.91.E+00,HANNARA_DRAFT.mp4,D:/kmou
2020-03-12 6:55,한나라호,441273000,5.84.E+00,5.70.E+00,5.86.E+00,5.87.E+00,HANNARA_DRAFT.mp4,D:/kmou
2020-03-12 6:57,한나라호,441273000,5.85.E+00,5.68.E+00,5.84.E+00,5.90.E+00,HANNARA_DRAFT.mp4,D:/kmou
2020-03-12 6:59,한나라호,441273000,5.84.E+00,5.76.E+00,5.83.E+00,5.87.E+00,HANNARA_DRAFT.mp4,D:/kmou
2020-03-12 7:01,한나라호,441273000,5.87.E+00,5.73.E+00,5.88.E+00,5.84.E+00,HANNARA_DRAFT.mp4,D:/kmou
2020-03-12 7:03,한나라호,441273000,5.89.E+00,5.71.E+00,5.84.E+00,5.94.E+00,HANNARA_DRAFT.mp4,D:/kmou
2020-03-12 7:05,한나라호,441273000,5.82.E+00,5.77.E+00,5.81.E+00,5.83.E+00,HANNARA_DRAFT.mp4,D:/kmou
2020-03-12 7:07,한나라호,441273000,5.84.E+00,5.70.E+00,5.88.E+00,5.88.E+00,HANNARA_DRAFT.mp4,D:/kmou
2020-03-12 7:09,한나라호,441273000,5.86.E+00,5.65.E+00,5.92.E+00,5.88.E+00,HANNARA_DRAFT.mp4,D:/kmou
2020-03-12 7:11,한나라호,441273000,5.87.E+00,5.73.E+00,5.85.E+00,5.93.E+00,HANNARA_DRAFT.mp4,D:/kmou
2020-03-12 7:13,한나라호,441273000,5.86.E+00,5.79.E+00,5.79.E+00,5.90.E+00,HANNARA_DRAFT.mp4,D:/kmou
2020-03-12 7:15,한나라호,441273000,5.86.E+00,5.66.E+00,5.81.E+00,5.98.E+00,HANNARA_DRAFT.mp4,D:/kmou
2020-03-12 7:17,한나라호,441273000,5.85.E+00,5.68.E+00,5.87.E+00,5.92.E+00,HANNARA_DRAFT.mp4,D:/kmou
2020-03-12 7:19,한나라호,441273000,5.86.E+00,5.76.E+00,5.82.E+00,5.90.E+00,HANNARA_DRAFT.mp4,D:/kmou
2020-03-12 7:21,한나라호,441273000,5.86.E+00,5.74.E+00,5.90.E+00,5.88.E+00,HANNARA_DRAFT.mp4,D:/kmou
2020-03-12 7:23,한나라호,441273000,5.89.E+00,5.73.E+00,5.88.E+00,5.91.E+00,HANNARA_DRAFT.mp4,D:/kmou
2020-03-12 7:25,한나라호,441273000,5.87.E+00,5.67.E+00,5.94.E+00,5.84.E+00,HANNARA_DRAFT.mp4,D:/kmou
2020-03-12 7:27,한나라호,441273000,5.84.E+00,5.73.E+00,5.83.E+00,5.89.E+00,HANNARA_DRAFT.mp4,D:/kmou
2020-03-12 7:29,한나라호,441273000,5.87.E+00,5.73.E+00,5.91.E+00,5.87.E+00,HANNARA_DRAFT.mp4,D:/kmou
2020-03-12 7:31,한나라호,441273000,5.86.E+00,5.69.E+00,5.83.E+00,5.94.E+00,HANNARA_DRAFT.mp4,D:/kmou
2020-03-12 7:33,한나라호,441273000,5.85.E+00,5.69.E+00,5.90.E+00,5.87.E+00,HANNARA_DRAFT.mp4,D:/kmou
